Client Name,Client Id,Date Of Birth,Gender,Account No
Frenkie De Jong,3,,,0001-0000-0003
Client Test 1,4,,,0001-0000-0004
Test Farmer,5,,,0001-0000-0005
Test Farmer,6,,,0001-0000-0006
Test Farmer,7,,,0001-0000-0007
Test Farmer,8,,,0001-0000-0008
Test Farmer,9,,,0001-0000-0009
Client Test 1,10,,,0001-0000-0010
Client Test 1,11,,,0001-0000-0011
Cornelius Sakwa,12,,,0001-0000-0012
Cornelius Sakwa,13,,,0001-0000-0013
Cornelius Sakwa,14,,,0001-0000-0014
Client Test 4,21,,,0001-0000-0021
Moses  Stephen Moses  Stephen,23,,,0001-0000-0023
Client Test5,27,,,0001-0000-0027
Client Test6,28,,,0001-0000-0028
Jane Nzau,29,,,0001-0000-0029
Joseph Kimetu,30,,,0001-0000-0030
Beatrice Koronkoro,31,,,0001-0000-0031
Robert Ogutu,32,,,0001-0000-0032
Tipapa Kerempe,33,,,0001-0000-0033
John Oyie,34,,,0001-0000-0034
John Kamau,35,,,0001-0000-0035
samuel okemwa nyariri,36,,,0001-0000-0036
Edwin Sinigi,37,,,0001-0000-0037
Benjamen Rutoh,38,,,0001-0000-0038
Kilelu Ratia,39,,,0001-0000-0039
Sencha Masikonte,40,,,0001-0000-0040
amos masikonte,41,,,0001-0000-0041
erick kumomoru,42,,,0001-0000-0042
James Supuko,43,,,0001-0000-0043
lemeck Ogutu,44,,,0001-0000-0044
Paul Gathimi,45,,,0001-0000-0045
Emily Gitundu,46,,,0001-0000-0046
Benard Nampaso,47,,,0001-0000-0047
David Mosonik,48,,,0001-0000-0048
Violet Nkoyo,49,,,0001-0000-0049
John Ikayo,50,,,0001-0000-0050
Evans Kering,51,,,0001-0000-0051
Teresa Kiplagat,52,,,0001-0000-0052
Anthony Ntimama,53,,,0001-0000-0053
dalamere Tayek,54,,,0001-0000-0054
Hillary Terer,55,,,0001-0000-0055
Nathan Koech,56,,,0001-0000-0056
Alexander Kirui,57,,,0001-0000-0057
James langat,58,,,0001-0000-0058
Esther nderitu,59,,,0001-0000-0059
Joseph nderitu  mwangi,60,,,0001-0000-0060
Johana Korir,61,,,0001-0000-0061
Everline Koech,62,,,0001-0000-0062
Joseph Lorien,63,,,0001-0000-0063
Michael Kariuki,64,,,0001-0000-0064
John Gacharia,65,,,0001-0000-0065
Tale Kerempe,66,,,0001-0000-0066
simon ngotiek,67,,,0001-0000-0067
Kelvin Kilesi,68,,,0001-0000-0068
Thomas Oseko,69,,,0001-0000-0069
Gibson Kilesi,70,,,0001-0000-0070
Nalamae Kumomoru,71,,,0001-0000-0071
Ngeny Benard,72,,,0001-0000-0072
Duncan Ndegwa,73,,,0001-0000-0073
Ntimama Masikonte,74,,,0001-0000-0074
Nkaiwuatei Festus,75,,,0001-0000-0075
Ntimama Kashu,76,,,0001-0000-0076
Ernest Tome,77,,,0001-0000-0077
Moses Bii,78,,,0001-0000-0078
Abdi Ahmed,79,,,0001-0000-0079
Athanas Muthini,80,,,0001-0000-0080
daniel cheruiyot,81,,,0001-0000-0081
Johana Langat,82,,,0001-0000-0082
Kipngetich Kennedy,83,,,0001-0000-0083
Kennedy Obonyo,84,,,0001-0000-0084
Peter Ndungu,85,,,0001-0000-0085
Richard Rono,86,,,0001-0000-0086
Samwel Kirangu,87,,,0001-0000-0087
Esther Mithia,88,,,0001-0000-0088
Elijah Lokula,89,,,0001-0000-0089
Daniel Kiiru,90,,,0001-0000-0090
Elkanah Onsongo,91,,,0001-0000-0091
Loice Nganga,92,,,0001-0000-0092
Josphat Oiyie,93,,,0001-0000-0093
Ronard Oirere,94,,,0001-0000-0094
Julia Oyie,95,,,0001-0000-0095
Tonui Nelson,96,,,0001-0000-0096
Gilbert Rono,97,,,0001-0000-0097
David Korir,98,,,0001-0000-0098
isaiah korir,99,,,0001-0000-0099
jackson muntui  suuji,100,,,0001-0000-0100
Janet Masikonde,101,,,0001-0000-0101
Julius Kurgat,102,,,0001-0000-0102
Leah Maina,103,,,0001-0000-0103
Metekai Ngoshosh,104,,,0001-0000-0104
Paul Mwangi,105,,,0001-0000-0105
Paul Maritim,106,,,0001-0000-0106
Robert Soi,107,,,0001-0000-0107
Sammy Kipyegon,108,,,0001-0000-0108
james langat,109,,,0001-0000-0109
Zablon Ouko,110,,,0001-0000-0110
benard ikayo,111,,,0001-0000-0111
Anne Wanjiku,112,,,0001-0000-0112
John Ndungu,113,,,0001-0000-0113
Mutai Bernard,114,,,0001-0000-0114
Kipkemoi Rutto,115,,,0001-0000-0115
Laboso Ruto,116,,,0001-0000-0116
Denis Wanyaga,117,,,0001-0000-0117
alfred langat,118,,,0001-0000-0118
Philip Njoroge,119,,,0001-0000-0119
Sarah Kirui,120,,,0001-0000-0120
Benjamin langat,121,,,0001-0000-0121
Jackson Nderitu,122,,,0001-0000-0122
Ernest Ngetich,123,,,0001-0000-0123
dickson ratia,124,,,0001-0000-0124
Jenniffer Sigilai,125,,,0001-0000-0125
Sarah Ngerechi,126,,,0001-0000-0126
Geofry Sangiriaki,127,,,0001-0000-0127
Jane Runano,128,,,0001-0000-0128
Client Client Test 8,131,,Male,0001-0000-0131
Test a Farmer,134,1986-01-24,Female,0001-0000-0134
Test Farmer5,135,1969-11-07,Male,0001-0000-0135
Test Farmer6,136,1959-11-08,Female,0001-0019-0136
Test Farmer7,137,1969-11-14,Male,0001-0020-0137
Test Farmer9,138,1964-11-14,Male,0001-0025-0138
aaaaaaa bbbbbbbb,139,1985-07-23,Female,0001-0026-0139
Box Trolls,140,1984-11-15,Female,0001-0019-0140
lealaps teumassian,141,1983-11-18,Male,0001-0019-0141
joker joker,142,1983-11-18,Male,0001-0019-0142
cyclop cameron,143,1984-11-18,Male,0001-0019-0143
Aaron Randall,144,1983-01-29,Male,0001-0027-0144
VoiceOf Rao,145,1986-11-19,Male,0001-0019-0145
Alex Royea,146,1987-07-12,Male,0001-0019-0146
aAKaOewE WeTzefTFKZ,147,1963-05-26,Male,0001-0019-0147
Daniel TEST1,148,1987-08-16,Male,0001-0026-0148
Johnny Bravo,149,1987-08-21,Male,0001-0019-0149
princess medussa,150,1983-11-20,Female,0001-0027-0150
Test Farmer10,151,1969-11-22,Male,0001-0026-0151
Test Farmer21,152,1959-11-22,Male,0001-0025-0152
Test Farmer22,153,1979-11-22,Male,0001-0028-0153
Test Farmer23,154,1974-11-22,Male,0001-0026-0154
Client Test 9,155,,Male,0005-0000-0155
Test Farmer24,156,1989-11-25,Male,0001-0026-0156
Test Farmer25,157,1969-11-25,Male,0001-0026-0157
Test Farmer26,158,1979-11-25,Male,0004-0026-0158
Test Farmer27,159,1969-11-25,Male,0007-0029-0159
Josphat TestUno,162,,Male,0007-0029-0162
Test Farmer28,163,1974-11-26,Male,0004-0025-0163
Test Farmer29,164,1964-11-27,Male,0004-0026-0164
